57,201102,DOKTER UMUM,33,34,60,Kesehatan,Ahli,Dokter,10,15,8,2,3
59,202100,Dokter Gigi Utama,44,45,60,Kesehatan,Ahli,Dokter Gigi,16,17,9,2,0
60,202101,Dokter Madya,41,43,60,Kesehatan,Ahli,Dokter Gigi,13,13,8,2,3
61,202102,Dokter Gigi Muda,33,34,60,Kesehatan,Ahli,Dokter Gigi,11,12,9,2,0
62,202103,Dokter Gigi Pertama,32,32,60,Kesehatan,Ahli,Dokter Gigi,10,10,9,2,0
63,203100,Bidan Penyelia,33,34,56,Kesehatan,Terampil,Bidan,11,12,10,2,0
64,203101,Bidan Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Bidan,9,10,10,2,0
65,203102,Bidan Pelaksana,22,24,56,Kesehatan,Terampil,Bidan,6,8,10,2,0
66,204100,Perawat Madya,41,43,60,Kesehatan,Ahli,Perawat,13,15,11,2,0
67,204101,Perawat Muda,33,34,60,Kesehatan,Ahli,Perawat,11,12,11,2,0
68,204102,Perawat Pertama,31,32,60,Kesehatan,Ahli,Perawat,9,10,11,2,0
69,204200,Perawat Penyelia,33,34,56,Kesehatan,Terampil,Perawat,11,12,11,2,0
70,204201,Perawat Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Perawat,9,10,11,2,0
71,204202,Perawat Pelaksana,22,24,56,Kesehatan,Terampil,Perawat,6,8,11,2,0
72,204203,Perawat Pelaksana Pemula,21,21,56,Kesehatan,Terampil,Perawat,5,5,11,2,0
73,205200,Perawat Gigi Penyelia,33,34,56,Kesehatan,Terampil,Perawat Gigi,11,12,12,2,0
74,205201,Perawat Gigi Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Perawat Gigi,9,10,12,2,0
75,205202,Perawat Gigi Pelaksana,22,24,56,Kesehatan,Terampil,Perawat Gigi,6,8,12,2,0
76,205203,Perawat Gigi Pelaksana Pemula,21,21,56,Kesehatan,Terampil,Perawat Gigi,5,5,12,2,0
81,206101,PENJAGA SEKOLAH,41,43,60,Kesehatan,Ahli,Apoteker,1,5,0,2,3
88,208100,Entomolog Kesehatan Madya,41,43,56,Kesehatan,Ahli,Entomolog Kesehatan,13,15,16,2,0
89,208101,Entomolog Kesehatan Muda,33,34,56,Kesehatan,Ahli,Entomolog Kesehatan,11,12,16,2,0
91,208201,Entomolog Kesehatan Penyelia,33,34,56,Kesehatan,Terampil,Entomolog Kesehatan,11,12,16,2,0
92,208202,Entomolog Kesehatan Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Entomolog Kesehatan,9,10,16,2,0
93,208203,Entomolog Kesehatan Pelaksana  ,22,24,56,Kesehatan,Terampil,Entomolog Kesehatan,6,8,16,2,0
94,208204,Entomolog Kesehatan Pelaksana Pemula,21,21,56,Kesehatan,Terampil,Entomolog Kesehatan,5,5,16,2,0
95,209100,Epidemiolog Kesehatan Madya,41,43,56,Kesehatan,Ahli,Epidemiolog Kesehatan,13,15,98,2,0
96,209101,Epidemiolog Kesehatan Muda ,33,34,56,Kesehatan,Ahli,Epidemiolog Kesehatan,11,12,98,2,0
97,209102,Epidemiolog Kesehatan Pertama,31,32,56,Kesehatan,Ahli,Epidemiolog Kesehatan,9,10,98,2,0
98,209200,Epidemiolog Kesehatan Penyelia,33,34,56,Kesehatan,Terampil,Epidemiolog Kesehatan,11,12,98,2,0
99,209201,Epidemiolog Kesehatan Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Epidemiolog Kesehatan,9,10,98,2,0
100,209202,Epidemiolog Kesehatan Pelaksana,22,24,60,Kesehatan,Terampil,Epidemiolog Kesehatan,6,6,13,2,3
101,209203,Epidemiolog Kesehatan Pelaksana Pemula,21,21,56,Kesehatan,Terampil,Epidemiolog Kesehatan,5,5,98,2,0
102,210100,Fisioterapis Madya  ,41,43,56,Kesehatan,Ahli,Fisioterapis,13,15,17,2,0
103,210101,Fisioterapis Muda  ,33,34,56,Kesehatan,Ahli,Fisioterapis,11,12,17,2,0
104,210102,Fisioterapis Pertama  ,31,32,56,Kesehatan,Ahli,Fisioterapis,9,10,17,2,0
105,210200,Fisioterapis Penyelia  ,33,34,56,Kesehatan,Terampil,Fisioterapis,11,12,17,2,0
106,210201,Fisioterapis Pelaksana Lanjutan  ,31,32,56,Kesehatan,Terampil,Fisioterapis,9,10,17,2,0
107,210202,Fisioterapis Pelaksana  ,22,24,56,Kesehatan,Terampil,Fisioterapis,6,8,17,2,0
108,211100,Nutrisionis Madya,41,43,56,Kesehatan,Ahli,Nutrisionis,13,15,18,2,0
109,211101,Nutrisionis Muda,33,34,56,Kesehatan,Ahli,Nutrisionis,11,12,18,2,0
110,211102,Nutrisionis Pertama,31,32,56,Kesehatan,Ahli,Nutrisionis,9,10,18,2,0
111,211200,Nutrisionis Penyelia,33,34,56,Kesehatan,Terampil,Nutrisionis,11,12,18,2,0
112,211201,Nutrisionis Pelaksana Lanjutan,31,32,56,Kesehatan,Terampil,Nutrisionis,9,10,18,2,0
113,211202,Nutrisionis Pelaksana  ,22,24,56,Kesehatan,Terampil,Nutrisionis,6,8,18,2,0
114,212100,Penyuluh Kesmas Madya,41,43,56,Kesehatan,Ahli,Penyuluh Kesmas,13,15,19,2,0
115,212101,Penyuluh Kesmas Muda ,33,34,56,Kesehatan,Ahli,Penyuluh Kesmas,11,12,19,2,0
