"1","16","17","I.a","60","1"
"2","15","17","I.b","60","1"
"3","15","16","II.a","60","2"
"4","14","15","II.b","60","2"
"5","13","14","III.a","58","3"
"6","12","13","III.b","58","3"
"7","11","12","IV.a","58","4"
"8","10","11","IV.b","58","4"
"9","9","10","V.a","58","5"
"10","8","9","V.b","58","5"
