RSDI,109,109,2/3/2019 4:22:50 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/3/2019 5:39:14 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/4/2019 7:32:17 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/4/2019 7:43:51 AM,C/Masuk,1,,FP,
RSDI,109,109,2/4/2019 4:33:00 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/4/2019 4:34:17 PM,C/Masuk,1,,FP,
RSDI,109,109,2/6/2019 7:30:53 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/6/2019 7:54:50 AM,C/Masuk,1,,FP,
RSDI,109,109,2/6/2019 4:30:02 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/6/2019 4:32:13 PM,C/Masuk,1,,FP,
RSDI,109,109,2/7/2019 7:31:01 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/7/2019 8:13:23 AM,C/Masuk,1,,FP,
RSDI,109,109,2/7/2019 4:31:42 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/7/2019 4:34:10 PM,C/Masuk,1,,FP,
RSDI,109,109,2/7/2019 5:33:54 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/7/2019 6:32:33 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/8/2019 6:57:37 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/8/2019 7:29:10 AM,C/Masuk,1,,FP,
RSDI,109,109,2/8/2019 11:03:20 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/8/2019 11:04:42 AM,C/Masuk,1,,FP,
RSDI,109,109,2/10/2019 4:13:57 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/10/2019 5:35:59 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/11/2019 8:07:15 AM,C/Masuk,1,,FP,
RSDI,109,109,2/11/2019 8:10:51 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/11/2019 4:30:10 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/11/2019 4:41:33 PM,C/Masuk,1,,FP,
RSDI,109,109,2/11/2019 4:47:06 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/11/2019 5:54:01 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/12/2019 7:33:03 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/12/2019 8:02:49 AM,C/Masuk,1,,FP,
RSDI,109,109,2/12/2019 4:30:16 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/12/2019 4:53:42 PM,C/Masuk,1,,FP,
RSDI,109,109,2/12/2019 5:00:34 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/12/2019 5:58:46 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/13/2019 7:37:15 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/13/2019 7:53:02 AM,C/Masuk,1,,FP,
RSDI,109,109,2/13/2019 4:31:57 PM,C/Masuk,1,,FP,
RSDI,109,109,2/13/2019 4:32:47 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/13/2019 5:03:34 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/13/2019 6:09:36 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/14/2019 7:33:12 AM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/14/2019 7:59:50 AM,C/Masuk,1,,FP,
RSDI,109,109,2/14/2019 4:31:27 PM,C/Masuk,1,,Sidik Jari,
RSDI,109,109,2/14/2019 4:36:33 PM,C/Masuk,1,,FP,
RSDI,109,109,2/14/2019 4:53:03 PM,C/Masuk,1,,Sidik Jari,
